47pF	2	"C5 C6"
100nF	3	"C4 C7 C8"
4.7uF	5	"C1 C2 C3 C9 C10"
USB-MICRO-B2	1	"CON1"
RXLED	1	"D1"
TXLED	1	"D2"
LED	1	"D3"
FILTER	1	"FB1"
CONN_12	1	"P1"
CONN_2	1	"P2"
MOS_P	1	"Q1"
MOS_N	1	"Q2"
27R	2	"R6 R7"
1k	14	"R1 R2 R4 R5 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18"
SW_PUSH	1	"SW1"
NCP1117LP	1	"U1"
ESP8266-3	1	"U2"
FT230XS	1	"U3"
TEST	2	"W1 W2"
